type,latitude,longitude,direction,mrm,id,jurisdiction,route,description,rtmp_url,ios_url,rtsp_url,image_url,active
Traffic Camera,36.848242,-76.426537,None,3,a4fb0972-83c9-11e7-9a6c-0123456789ab,City of Chesapeake,Taylor Road,Taylor Rd & Pughsville Rd,rtmp://s11.us-east-1.skyvdn.com:1935/rtplive/chesapeakestream014,http://s11.us-east-1.skyvdn.com:1935/rtplive/chesapeakestream014/playlist.m3u8,rtsp://s11.us-east-1.skyvdn.com/rtplive/chesapeakestream014,https://images.skyvdn.com/thumbs/chesapeakestream014.flv.png,1
Traffic Camera,36.764472,-76.251551,None,3,abc1f611-83c9-11e7-9a6c-0123456789ab,City of Chesapeake,Battlefield Blvd,Battlefield Blvd & Volvo Pkwy,rtmp://s11.us-east-1.skyvdn.com:1935/rtplive/chesapeakestream018,http://s11.us-east-1.skyvdn.com:1935/rtplive/chesapeakestream018/playlist.m3u8,rtsp://s11.us-east-1.skyvdn.com/rtplive/chesapeakestream018,https://images.skyvdn.com/thumbs/chesapeakestream018.flv.png,1
Traffic Camera,36.768527,-76.252189,None,4,abc1f612-83c9-11e7-9a6c-0123456789ab,City of Chesapeake,Battlefield Blvd,Battlefield Blvd & Wal Mart way,rtmp://s11.us-east-1.skyvdn.com:1935/rtplive/chesapeakestream019,http://s11.us-east-1.skyvdn.com:1935/rtplive/chesapeakestream019/playlist.m3u8,rtsp://s11.us-east-1.skyvdn.com/rtplive/chesapeakestream019,https://images.skyvdn.com/thumbs/chesapeakestream019.flv.png,0
Traffic Camera,36.73384,-76.240243,None,2,a2320b90-d3f0-11e7-b438-0123456789ab,City of Chesapeake,Battlefield Blvd,Battlefield Blvd & Kempsville RD,rtmp://s11.us-east-1.skyvdn.com:1935/rtplive/chesapeakestream020,http://s11.us-east-1.skyvdn.com:1935/rtplive/chesapeakestream020/playlist.m3u8,rtsp://s11.us-east-1.skyvdn.com/rtplive/chesapeakestream020,https://images.skyvdn.com/thumbs/chesapeakestream020.flv.png,1
Traffic Camera,36.61766,-76.211623,NB,4.7,9f9189f0-83c9-11e7-9a6c-0123456789ab,City of Chesapeake,VA-168,VA-168 / MM 04.7 / NB / Battlefield Blvd,rtmp://s11.us-east-1.skyvdn.com:1935/rtplive/chesapeakestream021,http://s11.us-east-1.skyvdn.com:1935/rtplive/chesapeakestream021/playlist.m3u8,rtsp://s11.us-east-1.skyvdn.com/rtplive/chesapeakestream021,https://images.skyvdn.com/thumbs/chesapeakestream021.flv.png,1
Traffic Camera,36.738169,-76.246429,SB,13.9,9f9189f1-83c9-11e7-9a6c-0123456789ab,City of Chesapeake,VA-168,VA-168 / MM 13.9 / SB / Battlefield Blvd,rtmp://s11.us-east-1.skyvdn.com:1935/rtplive/chesapeakestream022,http://s11.us-east-1.skyvdn.com:1935/rtplive/chesapeakestream022/playlist.m3u8,rtsp://s11.us-east-1.skyvdn.com/rtplive/chesapeakestream022,https://images.skyvdn.com/thumbs/chesapeakestream022.flv.png,1
Traffic Camera,36.716355,-76.239049,None,1,9eec9aa0-dd5e-11e7-9cc4-0123456789ab,City of Chesapeake,VA-168,VA-168 / MM 1 / Battlefield Blvd & Cedar Rd,rtmp://s11.us-east-1.skyvdn.com:1935/rtplive/chesapeakestream023,http://s11.us-east-1.skyvdn.com:1935/rtplive/chesapeakestream023/playlist.m3u8,rtsp://s11.us-east-1.skyvdn.com/rtplive/chesapeakestream023,https://images.skyvdn.com/thumbs/chesapeakestream023.flv.png,1
Traffic Camera,36.792908,-76.241237,None,0,abd04df0-83c9-11e7-9a6c-0123456789ab,City of Chesapeake,US-13,US-13 / Chesapeake / Military Hwy & Greenbrier Pkwy,rtmp://s11.us-east-1.skyvdn.com:1935/rtplive/chesapeakestream002,http://s11.us-east-1.skyvdn.com:1935/rtplive/chesapeakestream002/playlist.m3u8,rtsp://s11.us-east-1.skyvdn.com/rtplive/chesapeakestream002,https://images.skyvdn.com/thumbs/chesapeakestream002.flv.png,0
Traffic Camera,36.687873,-76.224896,None,0,9faefd01-83c9-11e7-9a6c-0123456789ab,City of Chesapeake,Hanbury Rd,Hanbury Rd & Benson Ln,rtmp://s11.us-east-1.skyvdn.com:1935/rtplive/chesapeakestream007,http://s11.us-east-1.skyvdn.com:1935/rtplive/chesapeakestream007/playlist.m3u8,rtsp://s11.us-east-1.skyvdn.com/rtplive/chesapeakestream007,https://images.skyvdn.com/thumbs/chesapeakestream007.flv.png,1
Traffic Camera,36.657665,-76.229829,None,7.7,4eeb6d20-d25e-11e7-8816-0123456789ab,City of Chesapeake,VA-168,VA-168 / MM 07.7 / Median / Hillcrest Pkwy,rtmp://s11.us-east-1.skyvdn.com:1935/rtplive/chesapeakestream010,http://s11.us-east-1.skyvdn.com:1935/rtplive/chesapeakestream010/playlist.m3u8,rtsp://s11.us-east-1.skyvdn.com/rtplive/chesapeakestream010,https://images.skyvdn.com/thumbs/chesapeakestream010.flv.png,1
